from,to,color,label,doi,doi additional,info,
6,2,red,CI,Reference,,,
7,2,red,CI,Reference,,,
7,1,black,,10.1021/jacs.7b13623,,Neuronal Tau Protein Blocks in Vitro Fibrillation of the Amyloid-β (Aβ) Peptide at the Oligomeric Stage,
1,6,green,,10.1002/anie.201800197,10.1002/cbic.201300262,Aβ induces PrP‐amyloid formation at submicromolar concentrations,
2,1,red,,10.1111/j.1471-4159.2012.07847.x,,"The seeding effects of αS fibrils were higher than those of Aβ40 and Aβ42 fibrils in the Aβ40 and Aβ42 aggregation pathways, respectively. We showed that Aβ and αS acted as seeds and affected each other's aggregation pathways in vitro.",
1,2,red,,10.1111/j.1471-4159.2012.07847.x,10.1073/pnas.211412398 ,β-Amyloid peptides enhance α-synuclein accumulation,
21,1,black,,10.1002/anie.201302840,,IAPP-GI binds with high affinity to the b-amyloid peptide (Ab) of Alzheimers disease (AD) and inhibits Ab fibrillogenesis and cytotoxicity.,
33,21,green,,10.1038/s41598-019-39056-x,,"SAA binds to purified fibrinogen, where it can provide a stimulus for the protein structure to become amyloidogenic.",
1,2,green,,10.1371/journal.pone.000313,10.1073/pnas.211412398,β-Amyloid peptides enhance α-synuclein accumulation,
21,1,red,,10.1021/acschemneuro.7b00396,,"Therefore, we propose that soluble IAPP promotes the aggregation of Aβ42 by binding-induced conformational change of Aβ42 in its amyloidogenic core and thus reduced aggregation free-energy barrier.",
1,7,green,,10.1126/science.1062097,,Formation of Neurofibrillary Tangles in P301L Tau Transgenic Mice Induced by Aβ42 Fibrils,
2,6,red,, https://doi.org/10.1371/journal.ppat.1006563,,,
1,6,green,,10.1523/JNEUROSCI.5924-09.2010,,,
1,21,green,,10.1038/mp.2016.230,,,
7,1,red,,10.1007/s00401-015-1525-x,,,
21,1,green,,10.1021/acschemneuro.5b00192,,,
1,21,red,,10.1074/jbc.M117.806109,,,
1,34,green,,https://doi.org/10.1016/j.bbadis.2014.01.002,,,
1,35,red,,https://doi.org/10.1016/j.bbadis.2014.01.002,,,
1,36,green,,https://doi.org/10.1016/j.bbadis.2014.01.002,,,
1,37,green,,https://doi.org/10.1016/j.bbadis.2014.01.002,,,
1,21,green,,https://doi.org/10.1016/j.bbadis.2014.01.002,,,
1,38,green,,doi:10.1038/nature25158,,,
8,2,red,,https://doi.org/10.7717/peerj.5,,,
39,41,green,,doi.org/10.1016/j.jmb.2010.06.053,,,
2,6,green,,doi.org/10.1371/journal.ppat.1006563,,,
40,39,green,,doi: 10.1038/srep07436,,,
42,8,black,,https://doi.org/10.1128/mBio.01349-18,,,
43,1,black,,10.1016/j.bbrc.2007.10.080,,,
43,1,black,,10.1016/j.bpj.2009.08.028,,,
44,8,black,,doi: 10.1016/j.molcel.2014.12.025,,,
45,1,black,,https://doi.org/10.1110/ps.04707004,,,
46,1,black,,https://doi.org/10.1110/ps.04707004,,,
47,1,black,,https://doi.org/10.1073/pnas.95.6.3275,,,
21,1,green,,https://doi.org/10.1021/acschemneuro.7b00396,,,
21,1, black,,doi: 10.1074/jbc.M311300200,,,
1,6,red,, https://doi.org/10.1002/anie.201800197,,,
48,1,black,,https://doi.org/10.1021/acs.biochem.9b00696,,,
48,21,black,, https://doi.org/10.1002/pro.145,,,
49,48,black,,10.1021/acs.biochem.9b00439,,,
8,49,black,,10.1021/acs.biochem.8b00841,,,
1,48,green,,10.1002/anie.20180019,suplement,,
33,49,green,,10.1038/s41598-019-39056-x,,,
21,3,red,,https://doi.org/10.1021/acsomega.6b00559 ,,,
